ID,number,title,pages,book_ID,createdAt,createdBy,modifiedAt,modifiedBy
5a8d3e40-3333-4c3d-ae4f-300000000001,1,The Boy Who Lived,17,7f2b1c30-2222-4b2c-9d3e-200000000001,2024-01-25T10:00:00Z,admin,2024-01-25T10:00:00Z,admin
5a8d3e40-3333-4c3d-ae4f-300000000002,2,The Vanishing Glass,12,7f2b1c30-2222-4b2c-9d3e-200000000001,2024-01-25T10:05:00Z,admin,2024-01-25T10:05:00Z,admin
5a8d3e40-3333-4c3d-ae4f-300000000003,1,Bran,15,7f2b1c30-2222-4b2c-9d3e-200000000002,2024-01-26T09:15:00Z,admin,2024-01-26T09:15:00Z,admin
5a8d3e40-3333-4c3d-ae4f-300000000004,2,Catelyn,18,7f2b1c30-2222-4b2c-9d3e-200000000002,2024-01-26T09:20:00Z,admin,2024-01-26T09:20:00Z,admin
5a8d3e40-3333-4c3d-ae4f-300000000005,1,The Simplon Orient Express,22,7f2b1c30-2222-4b2c-9d3e-200000000003,2024-01-27T11:30:00Z,admin,2024-01-27T11:30:00Z,admin
5a8d3e40-3333-4c3d-ae4f-300000000006,1,Jack,25,7f2b1c30-2222-4b2c-9d3e-200000000004,2024-01-28T14:20:00Z,admin,2024-01-28T14:20:00Z,admin
5a8d3e40-3333-4c3d-ae4f-300000000007,1,Mr. Bennet's Visit,10,7f2b1c30-2222-4b2c-9d3e-200000000005,2024-01-29T08:45:00Z,admin,2024-01-29T08:45:00Z,admin
5a8d3e40-3333-4c3d-ae4f-300000000008,1,The Widow Douglas,8,7f2b1c30-2222-4b2c-9d3e-200000000006,2024-01-30T13:00:00Z,admin,2024-01-30T13:00:00Z,admin
5a8d3e40-3333-4c3d-ae4f-300000000009,1,The Terrace,14,7f2b1c30-2222-4b2c-9d3e-200000000007,2024-01-31T16:10:00Z,admin,2024-01-31T16:10:00Z,admin
5a8d3e40-3333-4c3d-ae4f-300000000010,1,The Rostov Family,30,7f2b1c30-2222-4b2c-9d3e-200000000008,2024-02-01T10:50:00Z,admin,2024-02-01T10:50:00Z,admin
